id,product_id,retailer_id,source,rating,review_count,review_text,observed_at
132,9,,comunidad sneakers AR,4.0,,"Buenísimas, pero la disponibilidad de talles es un desastre: siempre quedan los extremos. Y el precio en Argentina duele.",2026-07-29
133,10,6,moov.com.ar,4.0,,"Cuero de buena calidad para el precio. El calce es angosto adelante, si tenés pie ancho probátelas antes.",2026-07-17
134,11,3,stockcenter.com.ar,5.0,,"Livianísimos, se sienten como una media. El agarre en cancha firme es excelente, pero el upper es delicado y se raya fácil.",2026-08-06
135,12,2,dexter.com.ar,4.0,,El control de pelota es notable con el Gripknit. Tardan en amoldarse y el precio está muy por encima de la competencia.,2026-06-25
136,13,4,solodeportes.com.ar,5.0,,Para crossfit son insuperables: base firme para sentadilla y aguantan el rope climb. Para correr más de 1 km son incómodas.,2026-07-23
137,14,5,opensports.com.ar,3.0,,"Livianas y flexibles, buenas para gimnasio. La suela se gastó rápido y no tienen casi amortiguación.",2026-07-09
138,15,6,moov.com.ar,4.0,,"Las compré para caminar y son un lujo, el rocker ayuda mucho. Me pareció caro para lo que es una zapatilla de caminata.",2026-08-12
139,16,2,dexter.com.ar,5.0,,"Rebotan muchísimo, dan ganas de salir a correr. Muy cómodas de entrada, sin período de adaptación, y el precio es competitivo.",2026-08-07
140,16,4,solodeportes.com.ar,5.0,,Mejor compra del año. Amortiguación y respuesta en la misma zapatilla; encima consegui talle sin problema.,2026-07-27
141,17,3,stockcenter.com.ar,5.0,,"El confort es de otro nivel, ideal para fondos largos. Son caras, pero duran mucho y no me hicieron ni una ampolla.",2026-07-13
142,17,,comunidad running AR,4.0,,"Comodísimas aunque pesadas. Si las conseguís con descuento valen la pena, a precio de lista es mucha plata.",2026-06-21
143,18,4,solodeportes.com.ar,4.0,,"El soporte es progresivo, no se siente la barra rígida de antes. Excelentes para pronadores, pero el precio es prohibitivo.",2026-08-02
144,19,7,sporting.com.ar,4.0,,"Muy buena relación precio calidad. Amortiguación correcta para 10 km, nada del otro mundo pero cumple todos los días.",2026-07-05
145,20,4,solodeportes.com.ar,4.0,,Agarre impecable en barro y protección real contra piedras. El calce es angosto y tardan en secar después de un cruce de agua.,2026-06-18
146,22,5,opensports.com.ar,4.0,,Por lo que salen son un golazo. La amortiguación es buena y las varillas se sienten en la transición; el upper podría ser mejor.,2026-08-04
147,22,2,dexter.com.ar,4.0,,Cómodas y estables para empezar a correr. Buena disponibilidad de talles y precio muy por debajo de las Nike equivalentes.,2026-07-19
148,23,5,opensports.com.ar,4.0,,"Más urbanas que de running, la verdad. Comodísimas para caminar y el agarre Continental es real, pero son carísimas.",2026-07-01
149,26,6,moov.com.ar,5.0,,"Se agotan en dos días cada vez que entran. Calzan angostas, pedí medio talle más; estéticamente no hay con qué darles hoy.",2026-08-13
150,26,8,grid.com.ar,4.0,,"Lindísimas pero incómodas para caminar mucho, la suela es finita. Aún así las uso todos los días por como quedan.",2026-07-24
151,30,4,solodeportes.com.ar,5.0,,"Vienen en anchos, algo que ninguna otra marca ofrece acá. Durabilidad excelente y amortiguación equilibrada.",2026-06-26
152,31,3,stockcenter.com.ar,4.0,,"Muy cómodas para rodajes largos, el rocker ayuda un montón. Se ensucia rápido el upper y no siempre hay talles grandes.",2026-08-14
153,36,4,solodeportes.com.ar,5.0,,La placa se siente en cuanto acelerás. Muy buena para series y encima el PUMAGRIP agarra en piso mojado.,2026-07-31
154,38,6,moov.com.ar,5.0,,"Están en todos lados y se entiende por qué: son lindas, cómodas y salen bastante menos que las Samba.",2026-08-10
155,42,2,dexter.com.ar,3.0,,El sensor está bueno pero la zapatilla se siente dura. Por ese precio prefiero una ASICS o una Nike.,2026-06-24
