id,period_start,period_end,country_code,brand_id,product_id,co_product_id,source_type,mention_count,comention_count,sentiment_score,intent,topic,sample_evidence
14,2026-07-16,2026-08-15,AR,1,,,social,445,0,0.59,want_to_buy,football,"[""Me quiero comprar los Mercurial nuevos para el torneo"", ""Los Vapor 16 son un misil, se sienten livianísimos""]"
15,2026-06-16,2026-07-15,AR,1,,,forum,180,0,-0.35,want_to_buy,sizing_availability,"[""Fui a tres locales y no hay talle 44 de las Pegasus"", ""Siempre quedan los talles de los extremos, nunca los del medio""]"
16,2026-07-16,2026-08-15,AR,1,,,forum,235,0,-0.42,want_to_buy,sizing_availability,"[""Fui a tres locales y no hay talle 44 de las Pegasus"", ""Siempre quedan los talles de los extremos, nunca los del medio""]"
17,2026-06-16,2026-07-15,AR,1,,,social,520,0,0.45,want_to_buy,want_to_buy,"[""Ando buscando unas Nike para arrancar a correr, recomendaciones?"", ""Estoy esperando el hot sale para comprar las Vomero""]"
18,2026-07-16,2026-08-15,AR,1,,,social,540,0,0.44,want_to_buy,want_to_buy,"[""Ando buscando unas Nike para arrancar a correr, recomendaciones?"", ""Estoy esperando el hot sale para comprar las Vomero""]"
19,2026-06-16,2026-07-15,AR,2,,,social,520,0,0.68,want_to_buy,fashion,"[""Me compré las Samba y no me las saco más"", ""Todas mis amigas andan con Adidas retro este año"", ""Las Campus 00s son lo más lindo que salió""]"
20,2026-07-16,2026-08-15,AR,2,,,social,700,0,0.71,want_to_buy,fashion,"[""Me compré las Samba y no me las saco más"", ""Todas mis amigas andan con Adidas retro este año"", ""Las Campus 00s son lo más lindo que salió""]"
21,2026-06-16,2026-07-15,AR,2,,,social,410,0,0.62,recommendation,streetwear,"[""Adidas se comió la calle, no ves otra cosa en Palermo"", ""El revival de las terraceras de Adidas es imparable""]"
22,2026-07-16,2026-08-15,AR,2,,,social,560,0,0.66,recommendation,streetwear,"[""Adidas se comió la calle, no ves otra cosa en Palermo"", ""El revival de las terraceras de Adidas es imparable""]"
23,2026-06-16,2026-07-15,AR,2,,,community,330,0,0.58,considering,design,"[""El diseño de las Gazelle es atemporal, van con todo"", ""Adidas está sacando mejores colorways que nadie""]"
24,2026-07-16,2026-08-15,AR,2,,,community,395,0,0.6,considering,design,"[""El diseño de las Gazelle es atemporal, van con todo"", ""Adidas está sacando mejores colorways que nadie""]"
25,2026-06-16,2026-07-15,AR,2,,,forum,280,0,0.44,comparing,good_value,"[""Las Supernova salen la mitad que unas Nike parecidas"", ""Por precio Adidas hoy conviene bastante más""]"
26,2026-07-16,2026-08-15,AR,2,,,forum,320,0,0.46,comparing,good_value,"[""Las Supernova salen la mitad que unas Nike parecidas"", ""Por precio Adidas hoy conviene bastante más""]"
27,2026-06-16,2026-07-15,AR,2,,,forum,210,0,0.35,considering,performance,"[""Las Adizero para series andan muy bien"", ""En running Adidas mejoró pero todavía le falta""]"
28,2026-07-16,2026-08-15,AR,2,,,forum,218,0,0.36,considering,performance,"[""Las Adizero para series andan muy bien"", ""En running Adidas mejoró pero todavía le falta""]"
29,2026-06-16,2026-07-15,AR,2,,,social,300,0,0.5,want_to_buy,football,"[""Los Predator siguen siendo los mejores para pegarle"", ""Quiero los Predator nuevos para el campeonato""]"
30,2026-07-16,2026-08-15,AR,2,,,social,315,0,0.5,want_to_buy,football,"[""Los Predator siguen siendo los mejores para pegarle"", ""Quiero los Predator nuevos para el campeonato""]"
31,2026-06-16,2026-07-15,AR,3,,,social,190,0,0.5,considering,fashion,"[""Las Palermo son la sorpresa del año, salen mucho menos que las Samba"", ""Puma volvió con todo en retro""]"
32,2026-07-16,2026-08-15,AR,3,,,social,260,0,0.55,considering,fashion,"[""Las Palermo son la sorpresa del año, salen mucho menos que las Samba"", ""Puma volvió con todo en retro""]"
33,2026-06-16,2026-07-15,AR,3,,,forum,160,0,0.52,recommendation,good_value,"[""Por lo que salen las Velocity Nitro son un golazo"", ""Puma es la mejor relación precio calidad hoy en running""]"
34,2026-07-16,2026-08-15,AR,3,,,forum,175,0,0.53,recommendation,good_value,"[""Por lo que salen las Velocity Nitro son un golazo"", ""Puma es la mejor relación precio calidad hoy en running""]"
35,2026-06-16,2026-07-15,AR,3,,,forum,120,0,0.4,considering,running,"[""Probé las Deviate Nitro 3 y me sorprendieron mucho"", ""Puma ya juega en la liga de running de verdad""]"
36,2026-07-16,2026-08-15,AR,3,,,forum,132,0,0.42,considering,running,"[""Probé las Deviate Nitro 3 y me sorprendieron mucho"", ""Puma ya juega en la liga de running de verdad""]"
37,2026-06-16,2026-07-15,AR,4,,,forum,300,0,0.7,recommendation,performance,"[""La Novablast 5 es la más divertida de correr que probé"", ""ASICS te da rendimiento sin pagar el sobreprecio de la marca""]"
38,2026-07-16,2026-08-15,AR,4,,,forum,330,0,0.71,recommendation,performance,"[""La Novablast 5 es la más divertida de correr que probé"", ""ASICS te da rendimiento sin pagar el sobreprecio de la marca""]"
39,2026-06-16,2026-07-15,AR,4,,,community,260,0,0.68,recommendation,comfort,"[""Las Nimbus son una nube, no hay con qué darles en confort"", ""Vengo del Nimbus 25 y el 26 es todavía más cómodo""]"
40,2026-07-16,2026-08-15,AR,4,,,community,285,0,0.69,recommendation,comfort,"[""Las Nimbus son una nube, no hay con qué darles en confort"", ""Vengo del Nimbus 25 y el 26 es todavía más cómodo""]"
41,2026-06-16,2026-07-15,AR,4,,,forum,180,0,0.62,considering,quality,"[""La calidad de ASICS se nota en la durabilidad de la suela"", ""Mis Kayano llevan 900 km y siguen enteras""]"
42,2026-07-16,2026-08-15,AR,4,,,forum,195,0,0.63,considering,quality,"[""La calidad de ASICS se nota en la durabilidad de la suela"", ""Mis Kayano llevan 900 km y siguen enteras""]"
43,2026-06-16,2026-07-15,AR,4,,,forum,150,0,-0.3,comparing,expensive,"[""La Kayano 31 en Argentina está carísima igual"", ""ASICS subió mucho de precio este año""]"
44,2026-07-16,2026-08-15,AR,4,,,forum,158,0,-0.31,comparing,expensive,"[""La Kayano 31 en Argentina está carísima igual"", ""ASICS subió mucho de precio este año""]"
45,2026-06-16,2026-07-15,AR,5,,,social,240,0,0.6,want_to_buy,fashion,"[""Las 9060 son lo más lindo del momento"", ""Quiero unas New Balance 550, quedan con todo""]"
46,2026-07-16,2026-08-15,AR,5,,,social,300,0,0.63,want_to_buy,fashion,"[""Las 9060 son lo más lindo del momento"", ""Quiero unas New Balance 550, quedan con todo""]"
47,2026-06-16,2026-07-15,AR,5,,,community,170,0,0.58,recommendation,comfort,"[""El 1080 es la más cómoda que tuve para rodajes largos"", ""New Balance viene en anchos, eso me salvó los pies""]"
48,2026-07-16,2026-08-15,AR,5,,,community,182,0,0.59,recommendation,comfort,"[""El 1080 es la más cómoda que tuve para rodajes largos"", ""New Balance viene en anchos, eso me salvó los pies""]"
49,2026-06-16,2026-07-15,AR,5,,,social,200,0,0.57,considering,streetwear,"[""New Balance pasó de zapatilla de papá a lo más cool"", ""El 9060 se ve en todos lados en Buenos Aires""]"
50,2026-07-16,2026-08-15,AR,5,,,social,245,0,0.6,considering,streetwear,"[""New Balance pasó de zapatilla de papá a lo más cool"", ""El 9060 se ve en todos lados en Buenos Aires""]"
51,2026-06-16,2026-07-15,AR,6,,,forum,90,0,0.4,considering,performance,"[""Las Flow Velociti son livianas y silenciosas, raro pero funciona"", ""Under Armour en running está bastante mejor de lo que esperaba""]"
52,2026-07-16,2026-08-15,AR,6,,,forum,95,0,0.41,considering,performance,"[""Las Flow Velociti son livianas y silenciosas, raro pero funciona"", ""Under Armour en running está bastante mejor de lo que esperaba""]"
53,2026-06-16,2026-07-15,AR,6,,,community,80,0,0.45,recommendation,gym,"[""Las Project Rock son un fierro para el gimnasio"", ""Para entrenar fuerza las UA me resultaron muy estables""]"
54,2026-07-16,2026-08-15,AR,6,,,community,88,0,0.46,recommendation,gym,"[""Las Project Rock son un fierro para el gimnasio"", ""Para entrenar fuerza las UA me resultaron muy estables""]"
55,2026-06-16,2026-07-15,AR,1,9,,social,260,0,0.6,want_to_buy,want_to_buy,"[""Busco Dunk Low talle 42, no hay stock en ningún lado"", ""Hace tres semanas que espero que repongan las Dunk""]"
56,2026-07-16,2026-08-15,AR,1,9,,social,310,0,0.62,want_to_buy,want_to_buy,"[""Busco Dunk Low talle 42, no hay stock en ningún lado"", ""Hace tres semanas que espero que repongan las Dunk""]"
57,2026-06-16,2026-07-15,AR,1,7,,social,300,0,0.5,want_to_buy,want_to_buy,"[""Me quiero comprar unas Air Force 1 blancas otra vez"", ""Las AF1 nunca fallan, ya voy por el tercer par""]"
58,2026-07-16,2026-08-15,AR,1,7,,social,290,0,0.49,want_to_buy,want_to_buy,"[""Me quiero comprar unas Air Force 1 blancas otra vez"", ""Las AF1 nunca fallan, ya voy por el tercer par""]"
59,2026-06-16,2026-07-15,AR,1,1,,forum,340,0,0.58,considering,performance,"[""Dudo entre las Pegasus 41 y algo más barato"", ""Las Pegasus 41 son la opción segura para entrenar""]"
60,2026-07-16,2026-08-15,AR,1,1,,forum,350,0,0.57,considering,performance,"[""Dudo entre las Pegasus 41 y algo más barato"", ""Las Pegasus 41 son la opción segura para entrenar""]"
61,2026-06-16,2026-07-15,AR,1,2,,forum,150,0,0.55,considering,comfort,"[""Probé las Vomero 18 en el local y son una nube"", ""La Vomero 18 me está tentando para los fondos""]"
62,2026-07-16,2026-08-15,AR,1,2,,forum,220,0,0.6,considering,comfort,"[""Probé las Vomero 18 en el local y son una nube"", ""La Vomero 18 me está tentando para los fondos""]"
63,2026-06-16,2026-07-15,AR,4,16,,forum,210,0,0.66,considering,performance,"[""La Novablast 5 rebota muchísimo, la recomiendo"", ""Cambié las Pegasus por la Novablast y no vuelvo""]"
64,2026-07-16,2026-08-15,AR,4,16,,forum,265,0,0.68,considering,performance,"[""La Novablast 5 rebota muchísimo, la recomiendo"", ""Cambié las Pegasus por la Novablast y no vuelvo""]"
65,2026-06-16,2026-07-15,AR,2,22,,forum,120,0,0.52,considering,performance,"[""Las Supernova Rise 2 por ese precio son un regalo"", ""Arranqué con las Supernova Rise 2 y van bárbaro""]"
66,2026-07-16,2026-08-15,AR,2,22,,forum,190,0,0.57,considering,performance,"[""Las Supernova Rise 2 por ese precio son un regalo"", ""Arranqué con las Supernova Rise 2 y van bárbaro""]"
67,2026-06-16,2026-07-15,AR,2,26,,social,420,0,0.66,want_to_buy,fashion,"[""Quiero las Samba OG negras, se agotan siempre"", ""Las Samba son la zapatilla del año y no hay talles""]"
68,2026-07-16,2026-08-15,AR,2,26,,social,470,0,0.68,want_to_buy,fashion,"[""Quiero las Samba OG negras, se agotan siempre"", ""Las Samba son la zapatilla del año y no hay talles""]"
69,2026-06-16,2026-07-15,AR,3,38,,social,130,0,0.58,want_to_buy,fashion,"[""Me compré las Palermo y salieron mucho menos que las Samba"", ""Las Palermo están explotando, las veo en todos lados""]"
70,2026-07-16,2026-08-15,AR,3,38,,social,210,0,0.64,want_to_buy,fashion,"[""Me compré las Palermo y salieron mucho menos que las Samba"", ""Las Palermo están explotando, las veo en todos lados""]"
71,2026-06-16,2026-07-15,AR,6,44,,forum,70,0,0.48,want_to_buy,performance,"[""Busco zapatillas de básquet y las Curry 12 son de las pocas que se consiguen"", ""En Argentina casi no hay oferta de zapatillas de básquet""]"
72,2026-07-16,2026-08-15,AR,6,44,,forum,82,0,0.5,want_to_buy,performance,"[""Busco zapatillas de básquet y las Curry 12 son de las pocas que se consiguen"", ""En Argentina casi no hay oferta de zapatillas de básquet""]"
73,2026-06-16,2026-07-15,AR,3,41,,forum,55,0,0.45,want_to_buy,performance,"[""Las MB.04 son lo único de básquet que encontré a precio razonable"", ""No hay modelos de básquet en el mercado local, muy poca variedad""]"
74,2026-07-16,2026-08-15,AR,3,41,,forum,68,0,0.47,want_to_buy,performance,"[""Las MB.04 son lo único de básquet que encontré a precio razonable"", ""No hay modelos de básquet en el mercado local, muy poca variedad""]"
75,2026-06-16,2026-07-15,AR,1,11,,social,180,0,0.6,want_to_buy,football,"[""Me quiero comprar los Vapor 16 para la pretemporada"", ""Los Mercurial nuevos están buenísimos pero carísimos""]"
76,2026-07-16,2026-08-15,AR,1,11,,social,205,0,0.61,want_to_buy,football,"[""Me quiero comprar los Vapor 16 para la pretemporada"", ""Los Mercurial nuevos están buenísimos pero carísimos""]"
77,2026-06-16,2026-07-15,AR,2,29,,social,150,0,0.52,comparing,football,"[""Dudo entre Predator 24 y Phantom, cuál controla mejor?"", ""Los Predator son más cómodos para mi pie ancho""]"
78,2026-07-16,2026-08-15,AR,2,29,,social,160,0,0.53,comparing,football,"[""Dudo entre Predator 24 y Phantom, cuál controla mejor?"", ""Los Predator son más cómodos para mi pie ancho""]"
79,2026-06-16,2026-07-15,AR,1,1,16,forum,62,62,0.55,comparing,performance,"[""Estoy entre las Pegasus 41 y las Novablast 5, cuál compro?"", ""Tuve las dos: la Novablast rebota más, la Pegasus dura más""]"
80,2026-07-16,2026-08-15,AR,1,1,16,forum,75,75,0.57,comparing,performance,"[""Estoy entre las Pegasus 41 y las Novablast 5, cuál compro?"", ""Tuve las dos: la Novablast rebota más, la Pegasus dura más""]"
81,2026-06-16,2026-07-15,AR,1,1,22,forum,34,34,0.5,comparing,performance,"[""Pegasus 41 o Supernova Rise 2? La diferencia de precio es enorme""]"
82,2026-07-16,2026-08-15,AR,1,1,22,forum,48,48,0.54,comparing,performance,"[""Pegasus 41 o Supernova Rise 2? La diferencia de precio es enorme""]"
83,2026-06-16,2026-07-15,AR,1,1,19,forum,26,26,0.48,comparing,performance,"[""Comparando Pegasus 41 contra Gel-Cumulus 26, la ASICS sale bastante menos""]"
84,2026-07-16,2026-08-15,AR,1,1,19,forum,28,28,0.48,comparing,performance,"[""Comparando Pegasus 41 contra Gel-Cumulus 26, la ASICS sale bastante menos""]"
85,2026-06-16,2026-07-15,AR,1,1,37,forum,18,18,0.52,comparing,good_value,"[""Las Velocity Nitro 3 son la Pegasus del pobre y andan igual de bien""]"
86,2026-07-16,2026-08-15,AR,1,1,37,forum,21,21,0.53,comparing,good_value,"[""Las Velocity Nitro 3 son la Pegasus del pobre y andan igual de bien""]"
87,2026-06-16,2026-07-15,AR,1,2,17,forum,41,41,0.6,comparing,comfort,"[""Vomero 18 vs Nimbus 26, las dos son una nube pero la Nike se siente más viva""]"
88,2026-07-16,2026-08-15,AR,1,2,17,forum,46,46,0.61,comparing,comfort,"[""Vomero 18 vs Nimbus 26, las dos son una nube pero la Nike se siente más viva""]"
89,2026-06-16,2026-07-15,AR,1,2,31,forum,22,22,0.56,comparing,comfort,"[""Dudo entre Vomero 18 y 1080v13 para rodajes largos""]"
90,2026-07-16,2026-08-15,AR,1,2,31,forum,27,27,0.58,comparing,comfort,"[""Dudo entre Vomero 18 y 1080v13 para rodajes largos""]"
91,2026-06-16,2026-07-15,AR,1,2,42,forum,12,12,0.42,comparing,comfort,"[""La HOVR Machina 3 sale menos que la Vomero pero es más dura""]"
92,2026-07-16,2026-08-15,AR,1,2,42,forum,14,14,0.43,comparing,comfort,"[""La HOVR Machina 3 sale menos que la Vomero pero es más dura""]"
93,2026-06-16,2026-07-15,AR,1,4,23,forum,30,30,0.54,comparing,comfort,"[""Invincible 3 o Ultraboost 5 para caminar y correr suave?""]"
94,2026-07-16,2026-08-15,AR,1,4,23,forum,33,33,0.55,comparing,comfort,"[""Invincible 3 o Ultraboost 5 para caminar y correr suave?""]"
95,2026-06-16,2026-07-15,AR,1,3,18,forum,24,24,0.5,comparing,performance,"[""Structure 25 vs Kayano 31 para pronadores, cuál conviene en Argentina?""]"
96,2026-07-16,2026-08-15,AR,1,3,18,forum,26,26,0.51,comparing,performance,"[""Structure 25 vs Kayano 31 para pronadores, cuál conviene en Argentina?""]"
97,2026-06-16,2026-07-15,AR,1,5,25,forum,20,20,0.52,comparing,performance,"[""Zoom Fly 6 o Adios Pro 3 para el maratón de Buenos Aires?""]"
98,2026-07-16,2026-08-15,AR,1,5,25,forum,23,23,0.53,comparing,performance,"[""Zoom Fly 6 o Adios Pro 3 para el maratón de Buenos Aires?""]"
99,2026-06-16,2026-07-15,AR,1,7,26,forum,88,88,0.45,comparing,fashion,"[""Air Force 1 o Samba? Hoy la Samba le gana por lejos en la calle"", ""Las AF1 son un clásico pero las Samba están más de moda""]"
100,2026-07-16,2026-08-15,AR,1,7,26,forum,96,96,0.44,comparing,fashion,"[""Air Force 1 o Samba? Hoy la Samba le gana por lejos en la calle"", ""Las AF1 son un clásico pero las Samba están más de moda""]"
101,2026-06-16,2026-07-15,AR,1,7,28,forum,55,55,0.42,comparing,fashion,"[""Cambié las Air Force por unas Campus 00s y no vuelvo atrás""]"
102,2026-07-16,2026-08-15,AR,1,7,28,forum,70,70,0.4,comparing,fashion,"[""Cambié las Air Force por unas Campus 00s y no vuelvo atrás""]"
103,2026-06-16,2026-07-15,AR,1,9,26,forum,64,64,0.44,comparing,fashion,"[""Dunk Low vs Samba OG, la Samba se consigue más fácil y sale menos""]"
104,2026-07-16,2026-08-15,AR,1,9,26,forum,72,72,0.42,comparing,fashion,"[""Dunk Low vs Samba OG, la Samba se consigue más fácil y sale menos""]"
105,2026-06-16,2026-07-15,AR,1,10,33,forum,30,30,0.5,comparing,fashion,"[""Jordan 1 Low o New Balance 550? Las 550 salen bastante menos""]"
106,2026-07-16,2026-08-15,AR,1,10,33,forum,35,35,0.51,comparing,fashion,"[""Jordan 1 Low o New Balance 550? Las 550 salen bastante menos""]"
107,2026-06-16,2026-07-15,AR,1,8,34,forum,26,26,0.4,comparing,fashion,"[""Air Max 270 o 9060? Hoy el 9060 se ve mucho más""]"
108,2026-07-16,2026-08-15,AR,1,8,34,forum,30,30,0.38,comparing,fashion,"[""Air Max 270 o 9060? Hoy el 9060 se ve mucho más""]"
109,2026-06-16,2026-07-15,AR,1,11,29,forum,70,70,0.55,comparing,football,"[""Mercurial Vapor 16 o Predator 24 para jugar de extremo?"", ""Los Predator son más cómodos, los Mercurial más livianos""]"
110,2026-07-16,2026-08-15,AR,1,11,29,forum,78,78,0.56,comparing,football,"[""Mercurial Vapor 16 o Predator 24 para jugar de extremo?"", ""Los Predator son más cómodos, los Mercurial más livianos""]"
111,2026-06-16,2026-07-15,AR,1,11,40,forum,33,33,0.5,comparing,football,"[""El Future 8 me calzó mejor que el Mercurial, tengo pie ancho""]"
112,2026-07-16,2026-08-15,AR,1,11,40,forum,37,37,0.51,comparing,football,"[""El Future 8 me calzó mejor que el Mercurial, tengo pie ancho""]"
113,2026-06-16,2026-07-15,AR,1,12,29,forum,28,28,0.52,comparing,football,"[""Phantom GX 2 vs Predator 24, cuál agarra mejor la pelota?""]"
114,2026-07-16,2026-08-15,AR,1,12,29,forum,31,31,0.52,comparing,football,"[""Phantom GX 2 vs Predator 24, cuál agarra mejor la pelota?""]"
115,2026-06-16,2026-07-15,AR,1,6,20,forum,15,15,0.48,comparing,performance,"[""Pegasus Trail 5 o Gel-Trabuco 12 para los cerros de Córdoba?""]"
116,2026-07-16,2026-08-15,AR,1,6,20,forum,17,17,0.49,comparing,performance,"[""Pegasus Trail 5 o Gel-Trabuco 12 para los cerros de Córdoba?""]"
117,2026-06-16,2026-07-15,AR,1,13,45,forum,12,12,0.46,comparing,performance,"[""Metcon 9 vs Project Rock BSR 4 para crossfit""]"
118,2026-07-16,2026-08-15,AR,1,13,45,forum,15,15,0.47,comparing,performance,"[""Metcon 9 vs Project Rock BSR 4 para crossfit""]"
119,2026-06-16,2026-07-15,AR,1,1,36,forum,20,20,0.53,comparing,performance,"[""La Deviate Nitro 3 tiene placa de carbono y sale parecido a la Pegasus""]"
120,2026-07-16,2026-08-15,AR,1,1,36,forum,24,24,0.55,comparing,performance,"[""La Deviate Nitro 3 tiene placa de carbono y sale parecido a la Pegasus""]"
121,2026-06-16,2026-07-15,AR,1,15,32,forum,10,10,0.5,comparing,comfort,"[""Para caminar mucho, Nike Motiva o New Balance More v4?""]"
122,2026-07-16,2026-08-15,AR,1,15,32,forum,12,12,0.51,comparing,comfort,"[""Para caminar mucho, Nike Motiva o New Balance More v4?""]"
